date,stock_name,open_price,close_price
2025-01-01,Stock_A,152,153
2025-01-01,Stock_B,98,99
2025-01-01,Stock_C,210,212
2025-01-01,Stock_D,75,76
2025-01-01,Stock_E,305,306
2025-01-01,Stock_F,45,46
2025-01-01,Stock_G,180,181
2025-01-01,Stock_H,60,61
2025-01-01,Stock_I,500,498
2025-01-01,Stock_J,130,131
2025-01-02,Stock_A,153,151
2025-01-02,Stock_B,99,97
2025-01-02,Stock_C,212,211
2025-01-02,Stock_D,76,77
2025-01-02,Stock_E,306,307
2025-01-02,Stock_F,46,47
2025-01-02,Stock_G,181,182
2025-01-02,Stock_H,61,62
2025-01-02,Stock_I,498,497
2025-01-02,Stock_J,131,132
2025-01-03,Stock_A,151,150
2025-01-03,Stock_B,97,96
2025-01-03,Stock_C,211,213
2025-01-03,Stock_D,77,76
2025-01-03,Stock_E,307,308
2025-01-03,Stock_F,47,46
2025-01-03,Stock_G,182,183
2025-01-03,Stock_H,62,63
2025-01-03,Stock_I,497,499
2025-01-03,Stock_J,132,133
2025-01-04,Stock_A,150,152
2025-01-04,Stock_B,96,98
2025-01-04,Stock_C,213,214
2025-01-04,Stock_D,76,75
2025-01-04,Stock_E,308,309
2025-01-04,Stock_F,46,45
2025-01-04,Stock_G,183,184
2025-01-04,Stock_H,63,64
2025-01-04,Stock_I,499,501
2025-01-04,Stock_J,133,134
2025-01-05,Stock_A,152,154
2025-01-05,Stock_B,98,100
2025-01-05,Stock_C,214,215
2025-01-05,Stock_D,75,78
2025-01-05,Stock_E,309,310
2025-01-05,Stock_F,45,48
2025-01-05,Stock_G,184,185
2025-01-05,Stock_H,64,65
2025-01-05,Stock_I,501,502
2025-01-05,Stock_J,134,135
2025-01-06,Stock_A,154,155
2025-01-06,Stock_B,100,101
2025-01-06,Stock_C,215,216
2025-01-06,Stock_D,78,79
2025-01-06,Stock_E,310,311
2025-01-06,Stock_F,48,49
2025-01-06,Stock_G,185,186
2025-01-06,Stock_H,65,66
2025-01-06,Stock_I,502,503
2025-01-06,Stock_J,135,136
2025-01-07,Stock_A,155,156
2025-01-07,Stock_B,101,102
2025-01-07,Stock_C,216,217
2025-01-07,Stock_D,79,80
2025-01-07,Stock_E,311,312
2025-01-07,Stock_F,49,50
2025-01-07,Stock_G,186,187
2025-01-07,Stock_H,66,67
2025-01-07,Stock_I,503,504
2025-01-07,Stock_J,136,137
2025-01-08,Stock_A,156,157
2025-01-08,Stock_B,102,103
2025-01-08,Stock_C,217,218
2025-01-08,Stock_D,80,81
2025-01-08,Stock_E,312,313
2025-01-08,Stock_F,50,51
2025-01-08,Stock_G,187,188
2025-01-08,Stock_H,67,68
2025-01-08,Stock_I,504,505
2025-01-08,Stock_J,137,138
2025-01-09,Stock_A,157,158
2025-01-09,Stock_B,103,104
2025-01-09,Stock_C,218,219
2025-01-09,Stock_D,81,82
2025-01-09,Stock_E,313,314
2025-01-09,Stock_F,51,52
2025-01-09,Stock_G,188,189
2025-01-09,Stock_H,68,69
2025-01-09,Stock_I,505,506
2025-01-09,Stock_J,138,139
2025-01-10,Stock_A,158,159
2025-01-10,Stock_B,104,105
2025-01-10,Stock_C,219,220
2025-01-10,Stock_D,82,83
2025-01-10,Stock_E,314,315
2025-01-10,Stock_F,52,53
2025-01-10,Stock_G,189,190
2025-01-10,Stock_H,69,70
2025-01-10,Stock_I,506,507
2025-01-10,Stock_J,139,140
2025-01-11,Stock_A,159,160
2025-01-11,Stock_B,105,106
2025-01-11,Stock_C,220,221
2025-01-11,Stock_D,83,84
2025-01-11,Stock_E,315,316
2025-01-11,Stock_F,53,54
2025-01-11,Stock_G,190,191
2025-01-11,Stock_H,70,71
2025-01-11,Stock_I,507,508
2025-01-11,Stock_J,140,141
2025-01-12,Stock_A,160,161
2025-01-12,Stock_B,106,107
2025-01-12,Stock_C,221,222
2025-01-12,Stock_D,84,85
2025-01-12,Stock_E,316,317
2025-01-12,Stock_F,54,55
2025-01-12,Stock_G,191,192
2025-01-12,Stock_H,71,72
2025-01-12,Stock_I,508,509
2025-01-12,Stock_J,141,142
2025-01-13,Stock_A,161,162
2025-01-13,Stock_B,107,108
2025-01-13,Stock_C,222,223
2025-01-13,Stock_D,85,86
2025-01-13,Stock_E,317,318
2025-01-13,Stock_F,55,56
2025-01-13,Stock_G,192,193
2025-01-13,Stock_H,72,73
2025-01-13,Stock_I,509,510
2025-01-13,Stock_J,142,143
2025-01-14,Stock_A,162,163
2025-01-14,Stock_B,108,109
2025-01-14,Stock_C,223,224
2025-01-14,Stock_D,86,87
2025-01-14,Stock_E,318,319
2025-01-14,Stock_F,56,57
2025-01-14,Stock_G,193,194
2025-01-14,Stock_H,73,74
2025-01-14,Stock_I,510,511
2025-01-14,Stock_J,143,144
2025-01-15,Stock_A,163,164
2025-01-15,Stock_B,109,110
2025-01-15,Stock_C,224,225
2025-01-15,Stock_D,87,88
2025-01-15,Stock_E,319,320
2025-01-15,Stock_F,57,58
2025-01-15,Stock_G,194,195
2025-01-15,Stock_H,74,75
2025-01-15,Stock_I,511,512
2025-01-15,Stock_J,144,145
2025-01-16,Stock_A,164,165
2025-01-16,Stock_B,110,111
2025-01-16,Stock_C,225,226
2025-01-16,Stock_D,88,89
2025-01-16,Stock_E,320,321
2025-01-16,Stock_F,58,59
2025-01-16,Stock_G,195,196
2025-01-16,Stock_H,75,76
2025-01-16,Stock_I,512,513
2025-01-16,Stock_J,145,146
2025-01-17,Stock_A,165,166
2025-01-17,Stock_B,111,112
2025-01-17,Stock_C,226,227
2025-01-17,Stock_D,89,90
2025-01-17,Stock_E,321,322
2025-01-17,Stock_F,59,60
2025-01-17,Stock_G,196,197
2025-01-17,Stock_H,76,77
2025-01-17,Stock_I,513,514
2025-01-17,Stock_J,146,147
2025-01-18,Stock_A,166,167
2025-01-18,Stock_B,112,113
2025-01-18,Stock_C,227,228
2025-01-18,Stock_D,90,91
2025-01-18,Stock_E,322,323
2025-01-18,Stock_F,60,61
2025-01-18,Stock_G,197,198
2025-01-18,Stock_H,77,78
2025-01-18,Stock_I,514,515
2025-01-18,Stock_J,147,148
2025-01-19,Stock_A,167,168
2025-01-19,Stock_B,113,114
2025-01-19,Stock_C,228,229
2025-01-19,Stock_D,91,92
2025-01-19,Stock_E,323,324
2025-01-19,Stock_F,61,62
2025-01-19,Stock_G,198,199
2025-01-19,Stock_H,78,79
2025-01-19,Stock_I,515,516
2025-01-19,Stock_J,148,149
2025-01-20,Stock_A,168,169
2025-01-20,Stock_B,114,115
2025-01-20,Stock_C,229,230
2025-01-20,Stock_D,92,93
2025-01-20,Stock_E,324,325
2025-01-20,Stock_F,62,63
2025-01-20,Stock_G,199,200
2025-01-20,Stock_H,79,80
2025-01-20,Stock_I,516,517
2025-01-20,Stock_J,149,150
2025-01-21,Stock_A,169,170
2025-01-21,Stock_B,115,116
2025-01-21,Stock_C,230,231
2025-01-21,Stock_D,93,94
2025-01-21,Stock_E,325,326
2025-01-21,Stock_F,63,64
2025-01-21,Stock_G,200,201
2025-01-21,Stock_H,80,81
2025-01-21,Stock_I,517,518
2025-01-21,Stock_J,150,151
2025-01-22,Stock_A,170,171
2025-01-22,Stock_B,116,117
2025-01-22,Stock_C,231,232
2025-01-22,Stock_D,94,95
2025-01-22,Stock_E,326,327
2025-01-22,Stock_F,64,65
2025-01-22,Stock_G,201,202
2025-01-22,Stock_H,81,82
2025-01-22,Stock_I,518,519
2025-01-22,Stock_J,151,152
2025-01-23,Stock_A,171,172
2025-01-23,Stock_B,117,118
2025-01-23,Stock_C,232,233
